cluster,park,rangers,histgrows,maxdens_roads,maxdens_trails
1,CABR,3,No,High,High
1,CHIS,9,No,Medium,Medium
1,CRMO,0,No,Low,Low
1,GRBA,4,No,Medium,Medium
1,ORCA,2,No,Medium,High
2,HAVO,6,Yes,Medium,Medium
2,JOTR,11,Yes,Medium,Medium
2,LARO,18,Yes,Medium,Low
2,REDW,10,Yes,High,Medium
2,SEKI,40,Yes,Low,Medium
3,DEVA,11,Yes,Medium,Low
3,LAVO,11,No,Medium,Medium
3,NOCA,11,Yes,Low,Medium
4,CRLA,7,No,Medium,Medium
4,HALE,6,Yes,Medium,Medium
4,KAHO,3,Yes,Medium,High
4,KALA,6,Yes,Medium,Medium
4,LABE,2,No,Medium,Medium
4,PINN,4,No,Medium,Medium
4,PUHO,2,No,High,High
5,SAMO,10,Yes,High,High
5,VALR,2,No,High,High
6,GOGA,35,Yes,High,Medium
6,LAKE,43,Yes,Medium,Low
6,OLYM,28,Yes,Low,Medium
6,WHIS,8,Yes,High,Medium
6,YOSE,75,Yes,Medium,Medium
7,MOJA,7,Yes,Medium,Low
7,MORA,17,No,Medium,Medium
7,PORE,10,Yes,Medium,Medium
